Kunta,Autot,Henkilöautot,Pakettiautot,Kuorma-autot,Linja-autot,Erikoisautot,Moottoripyörät,Kolmi- tai nelipyörä,Mopot,Kevyet nelipyörät,Nelipyörät,Moottorikelkat,Traktorit,Moottorityökoneet
Askola,3 822,3 070,566,180,1,5,270,1,192,1,8,30,941,121
Espoo,143 565,131 680,8 917,1 894,1 038,36,5 326,23,3 123,55,153,517,3 564,1 167
Hanko,5 125,4 280,630,202,11,2,314,2,269,4,14,13,295,160
Helsinki,258 723,225 008,26 211,5 772,1 615,117,10 003,48,5 115,79,213,1 224,6 311,4 110
Hyvinkää,28 547,24 973,2 669,781,109,15,1 523,3,903,57,37,146,1 607,541
Inkoo,4 080,3 375,582,116,4,3,224,1,145,4,6,43,1 001,109
Järvenpää,24 467,22 257,1 772,417,9,12,1 234,3,817,27,20,129,724,195
Karkkila,5 954,4 994,731,221,2,6,375,.,244,7,13,36,783,107
Kauniainen,4 793,4 616,142,34,.,1,151,3,102,5,5,28,204,25
Kerava,19 722,17 198,1 892,613,13,6,963,1,487,23,16,93,534,363
Kirkkonummi,23 389,21 019,1 898,444,15,13,1 324,9,750,11,34,146,1 522,253
Lapinjärvi,2 020,1 593,350,74,1,2,92,1,92,3,1,15,774,68
Lohja,31 071,26 847,3 257,923,32,12,1 727,8,1 239,37,51,112,3 777,494
Loviisa,10 761,8 997,1 355,383,17,9,551,2,402,10,22,108,1 916,248
Myrskylä,1 412,1 126,233,52,.,1,112,.,75,3,3,10,530,49
Mäntsälä,14 431,12 352,1 564,486,18,11,1 011,4,617,18,40,127,2 463,290
Nurmijärvi,30 354,25 943,3 115,1 113,165,18,1 820,13,1 166,12,51,161,2 669,803
Pornainen,3 770,3 166,440,158,2,4,310,.,191,5,6,42,685,55
Porvoo,33 280,28 689,3 686,836,53,16,1 660,9,1 190,59,54,230,2 993,471
Pukkila,1 540,1 145,276,115,2,2,114,.,63,2,3,24,612,89
Raasepori,19 114,15 834,2 597,628,40,15,1 019,3,1 062,10,36,72,2 917,340
Sipoo,15 349,13 293,1 554,467,26,9,1 273,3,606,24,36,179,2 152,249
Siuntio,4 383,3 840,431,109,2,1,287,3,212,3,13,24,841,52
Tuusula,29 498,24 613,3 568,1 272,27,18,1 857,7,1 036,38,50,205,1 845,670
Vantaa,137 277,115 093,17 670,4 271,204,39,5 830,12,2 796,53,138,576,3 451,3 057
Vihti,19 722,17 058,2 098,535,13,18,1 151,4,759,11,43,98,2 244,336
Aura,3 081,2 525,443,111,2,.,165,2,141,4,8,13,606,80
Kaarina,22 930,20 397,1 942,578,9,4,1 120,7,859,33,28,39,1 165,250
Kemiönsaari,4 848,3 828,838,149,27,6,194,1,254,6,5,45,1 766,129
Koski Tl,1 881,1 413,320,139,7,2,120,.,108,1,4,10,1 031,69
Kustavi,805,617,154,32,.,2,28,.,30,1,1,7,302,15
