,Aluekoodi,Alue,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,1,Eteläinen suurpiiri,152401.0,150108.0,148573.0,144904.0,139521.0,138145.0,135991.0,133803.0,130620.0,128077.0,123523.0,120370.0,117099.0,113505.0,110711.0,107558.0,105436.0,103183.0,101189.0,99929.0,98777.0,98177.0,95858.0,95797.0,94319.0,93997.0,92973.0,92000.0,90307.0,89272.0,88902.0,88757.0,90986.0,93153.0,95447.0,96489.0,97335.0,97563.0,97015.0,97008.0,97009.0,96624.0,96083.0,96030.0,96034.0,96906.0,97313.0,98058.0,99683.0,100664.0,101586.0,104054.0,106201.0,108210.0,110124.0,112675.0,116443.0,117983.0,119515.0,121294.0,121157.0,121877.0
1,101,Vironniemi,20759.0,19904.0,19420.0,18472.0,17612.0,17303.0,16952.0,16600.0,16214.0,15868.0,15218.0,14967.0,14333.0,13679.0,13131.0,12692.0,12449.0,12105.0,12141.0,11982.0,12455.0,12941.0,12643.0,13326.0,13183.0,13200.0,12905.0,12799.0,12424.0,12139.0,11780.0,11626.0,11681.0,11743.0,11780.0,11635.0,11793.0,11809.0,11772.0,11665.0,11347.0,11315.0,11213.0,11242.0,11167.0,11436.0,11514.0,11626.0,11671.0,11938.0,11948.0,12111.0,12218.0,12269.0,12482.0,12504.0,12629.0,12698.0,12957.0,12915.0,12794.0,12984.0
2,10, Kruununhaka,13812.0,13367.0,13134.0,12679.0,12074.0,11799.0,11595.0,11326.0,11000.0,10760.0,10307.0,10086.0,9633.0,9273.0,8875.0,8616.0,8456.0,8266.0,8017.0,7815.0,7708.0,7642.0,7432.0,7388.0,7223.0,7226.0,7095.0,7062.0,6954.0,6784.0,6831.0,6757.0,6799.0,6841.0,6905.0,6898.0,6948.0,7020.0,7071.0,6983.0,6778.0,6763.0,6695.0,6688.0,6684.0,6805.0,6763.0,6873.0,6872.0,7046.0,7037.0,7106.0,7202.0,7202.0,7376.0,7414.0,7447.0,7481.0,7473.0,7221.0,7175.0,7222.0
3,20,Kluuvi,2195.0,1949.0,1725.0,1513.0,1410.0,1405.0,1356.0,1349.0,1292.0,1200.0,1072.0,1062.0,993.0,998.0,965.0,888.0,833.0,754.0,722.0,664.0,659.0,628.0,592.0,581.0,536.0,514.0,499.0,470.0,421.0,409.0,387.0,415.0,436.0,450.0,449.0,429.0,437.0,473.0,456.0,462.0,430.0,391.0,389.0,387.0,398.0,389.0,402.0,376.0,424.0,439.0,443.0,514.0,562.0,621.0,636.0,642.0,641.0,640.0,652.0,699.0,687.0,666.0
4,80,Katajanokka,4752.0,4588.0,4561.0,4280.0,4128.0,4099.0,4001.0,3925.0,3922.0,3908.0,3839.0,3819.0,3707.0,3408.0,3291.0,3188.0,3160.0,3085.0,3402.0,3503.0,4088.0,4671.0,4619.0,5357.0,5424.0,5460.0,5311.0,5267.0,5049.0,4946.0,4562.0,4454.0,4446.0,4452.0,4426.0,4308.0,4408.0,4316.0,4245.0,4220.0,4139.0,4161.0,4129.0,4167.0,4085.0,4242.0,4349.0,4377.0,4375.0,4453.0,4468.0,4491.0,4454.0,4446.0,4470.0,4448.0,4541.0,4577.0,4832.0,4995.0,4932.0,5096.0
5,102,Ullanlinna,40764.0,40453.0,40376.0,39443.0,37916.0,38388.0,37303.0,36310.0,35317.0,34418.0,33327.0,32336.0,31182.0,30130.0,29255.0,28594.0,27875.0,27183.0,26436.0,26176.0,25391.0,25121.0,24509.0,24019.0,23730.0,23623.0,23181.0,22851.0,22308.0,22082.0,22029.0,21928.0,22188.0,22685.0,22978.0,22905.0,22995.0,22954.0,22668.0,22585.0,22519.0,22453.0,22515.0,22486.0,22306.0,22435.0,22371.0,22624.0,23050.0,23360.0,23572.0,24002.0,23997.0,24045.0,24367.0,24638.0,24508.0,24477.0,24643.0,24859.0,24636.0,24374.0
6,30,Kaartinkaupunki,3225.0,3069.0,3151.0,3065.0,2916.0,2766.0,2211.0,2135.0,2131.0,1971.0,1903.0,1767.0,1689.0,1574.0,1515.0,1478.0,1409.0,1352.0,1310.0,1282.0,1244.0,1169.0,1130.0,1080.0,1005.0,980.0,953.0,968.0,924.0,883.0,882.0,885.0,867.0,896.0,936.0,978.0,985.0,1014.0,1011.0,960.0,911.0,884.0,890.0,881.0,863.0,862.0,886.0,898.0,972.0,975.0,987.0,999.0,988.0,985.0,1050.0,1039.0,1012.0,1036.0,1035.0,1057.0,1061.0,1039.0
7,50,Punavuori,14535.0,14751.0,14513.0,14245.0,13678.0,13282.0,13080.0,12635.0,12314.0,11879.0,11413.0,11145.0,10785.0,10552.0,10241.0,10036.0,9823.0,9549.0,9274.0,9237.0,9062.0,8926.0,8660.0,8264.0,8362.0,8440.0,8187.0,8091.0,7856.0,7808.0,7795.0,7834.0,7879.0,8127.0,8213.0,8053.0,8178.0,8199.0,8041.0,8149.0,8273.0,8363.0,8378.0,8414.0,8218.0,8314.0,8231.0,8339.0,8440.0,8520.0,8678.0,8899.0,8973.0,9057.0,9071.0,9226.0,9221.0,9124.0,9217.0,9306.0,9267.0,9258.0
8,60,Eira,2056.0,2065.0,2067.0,1993.0,1942.0,1888.0,1859.0,1883.0,1775.0,1738.0,1700.0,1688.0,1564.0,1519.0,1484.0,1423.0,1375.0,1349.0,1332.0,1287.0,1292.0,1236.0,1225.0,1188.0,1175.0,1165.0,1117.0,1102.0,1085.0,1044.0,1021.0,1018.0,1030.0,1098.0,1119.0,1100.0,1109.0,1117.0,1104.0,1106.0,1080.0,1056.0,1046.0,1081.0,1047.0,1033.0,989.0,993.0,1019.0,1078.0,1077.0,1083.0,1098.0,1077.0,1092.0,1094.0,1133.0,1101.0,1081.0,1104.0,1083.0,1050.0
9,70,Ullanlinna,18499.0,18126.0,18227.0,17889.0,17255.0,16861.0,16612.0,16250.0,15644.0,15510.0,15123.0,14584.0,14103.0,13576.0,13118.0,12816.0,12512.0,12245.0,11883.0,11726.0,11312.0,11269.0,10976.0,11030.0,10828.0,10734.0,10604.0,10432.0,10212.0,10158.0,10184.0,10145.0,10288.0,10401.0,10525.0,10610.0,10571.0,10493.0,10378.0,10224.0,10162.0,10094.0,10120.0,10040.0,10154.0,10180.0,10214.0,10154.0,10291.0,10502.0,10483.0,10586.0,10489.0,10543.0,10629.0,10806.0,10706.0,10821.0,10858.0,10998.0,10893.0,10774.0
